,countrycode,year,padded_population_of_researchers,number_of_inmigrations,number_of_outmigrations,netmigration,inmigrationrate,outmigrationrate,netmigrationrate,gdp_per_capita,mean_n_researchers
3,abw,1999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19355.3335357274,4.0
4,abw,2000.0,2.0,1.0,0.0,1.0,0.5,0.0,0.5,20617.7504673528,4.0
5,abw,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20670.3670051627,4.0
6,abw,2002.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,20436.8871286309,4.0
7,abw,2003.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20833.976357295,4.0
8,abw,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22568.3749910043,4.0
9,abw,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23300.7383630907,4.0
10,abw,2007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25834.1117784233,4.0
11,abw,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27083.6348596914,4.0
12,abw,2009.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24631.1820522439,4.0
13,abw,2010.0,4.0,0.0,1.0,-1.0,0.0,0.25,-0.25,23513.527696809,4.0
14,abw,2011.0,7.0,1.0,0.0,1.0,0.1428571428571428,0.0,0.1428571428571428,24985.0139185797,4.0
15,abw,2012.0,7.0,2.0,1.0,1.0,0.2857142857142857,0.1428571428571428,0.1428571428571428,24712.4932628907,4.0
16,abw,2013.0,8.0,1.0,0.0,1.0,0.125,0.0,0.125,26441.6199357378,4.0
17,abw,2014.0,11.0,3.0,1.0,2.0,0.2727272727272727,0.0909090909090909,0.1818181818181818,26893.0115056581,4.0
18,abw,2015.0,8.0,1.0,2.0,-1.0,0.125,0.25,-0.125,28396.9084228616,4.0
19,abw,2016.0,7.0,0.0,1.0,-1.0,0.0,0.1428571428571428,-0.1428571428571428,28452.1706146796,4.0
20,abw,2017.0,6.0,2.0,0.0,2.0,0.3333333333333333,0.0,0.3333333333333333,29350.8050189137,4.0
21,abw,2018.0,2.0,0.0,1.0,-1.0,0.0,0.5,-0.5,30253.2793580195,4.0
27,afg,1999.0,4.0,1.0,0.0,1.0,0.25,0.0,0.25,264.111197144336,49.7
28,afg,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,264.111197144336,49.7
29,afg,2001.0,10.0,1.0,1.0,0.0,0.1,0.1,0.0,264.111197144336,49.7
30,afg,2002.0,12.0,1.0,1.0,0.0,0.0833333333333333,0.0833333333333333,0.0,179.426579211394,49.7
31,afg,2003.0,21.0,7.0,2.0,5.0,0.3333333333333333,0.0952380952380952,0.238095238095238,190.683814295088,49.7
32,afg,2004.0,19.0,5.0,5.0,0.0,0.2631578947368421,0.2631578947368421,0.0,211.382074198939,49.7
33,afg,2005.0,28.0,6.0,3.0,3.0,0.2142857142857142,0.1071428571428571,0.1071428571428571,242.031313175022,49.7
34,afg,2006.0,31.0,5.0,3.0,2.0,0.1612903225806451,0.0967741935483871,0.064516129032258,263.733601866274,49.7
35,afg,2007.0,39.0,5.0,3.0,2.0,0.1282051282051282,0.0769230769230769,0.0512820512820512,359.693157866109,49.7
36,afg,2008.0,48.0,7.0,5.0,2.0,0.1458333333333333,0.1041666666666666,0.0416666666666666,364.660679028164,49.7
37,afg,2009.0,82.0,16.0,2.0,14.0,0.1951219512195122,0.024390243902439,0.1707317073170731,438.076142403179,49.7
38,afg,2010.0,78.0,6.0,12.0,-6.0,0.0769230769230769,0.1538461538461538,-0.0769230769230769,543.302967401909,49.7
39,afg,2011.0,87.0,10.0,10.0,0.0,0.1149425287356321,0.1149425287356321,0.0,591.162798293135,49.7
40,afg,2012.0,78.0,8.0,11.0,-3.0,0.1025641025641025,0.141025641025641,-0.0384615384615384,641.871437960934,49.7
41,afg,2013.0,68.0,3.0,9.0,-6.0,0.0441176470588235,0.1323529411764706,-0.088235294117647,637.165463951798,49.7
42,afg,2014.0,75.0,13.0,9.0,4.0,0.1733333333333333,0.12,0.0533333333333333,613.856505217398,49.7
43,afg,2015.0,80.0,17.0,13.0,4.0,0.2125,0.1625,0.05,578.466352941708,49.7
44,afg,2016.0,82.0,13.0,9.0,4.0,0.1585365853658536,0.1097560975609756,0.048780487804878,509.220100485356,49.7
45,afg,2017.0,74.0,17.0,23.0,-6.0,0.2297297297297297,0.3108108108108108,-0.081081081081081,519.888912573073,49.7
46,afg,2018.0,74.0,18.0,10.0,8.0,0.2432432432432432,0.1351351351351351,0.1081081081081081,493.756581366026,49.7
