,migrationfrom,migrationto,migrationyearpadding,n_migrations
0,abw,bel,2014.0,1
1,abw,fji,2012.0,1
2,abw,gbr,2018.0,1
3,abw,nld,2010.0,1
4,abw,nld,2015.0,1
5,abw,usa,2002.0,1
6,abw,usa,2015.0,1
7,abw,usa,2016.0,1
8,afg,ago,2005.0,1
9,afg,are,2015.0,1
10,afg,arg,2006.0,1
11,afg,arm,2017.0,1
12,afg,aus,2012.0,1
13,afg,aus,2015.0,1
14,afg,aus,2017.0,1
15,afg,aut,2012.0,1
16,afg,bgd,2017.0,1
17,afg,can,2008.0,1
18,afg,can,2017.0,1
19,afg,che,2006.0,1
20,afg,che,2012.0,1
21,afg,chn,2012.0,1
22,afg,chn,2017.0,2
23,afg,chn,2019.0,2
24,afg,cze,2001.0,1
25,afg,cze,2002.0,1
26,afg,cze,2003.0,1
27,afg,cze,2009.0,1
28,afg,deu,2010.0,1
29,afg,deu,2013.0,1
30,afg,deu,2018.0,3
31,afg,deu,2019.0,2
32,afg,deu,2020.0,1
33,afg,dnk,2021.0,1
34,afg,egy,2010.0,1
35,afg,egy,2015.0,1
36,afg,esp,2018.0,1
37,afg,fra,2003.0,1
38,afg,fra,2014.0,1
39,afg,fra,2015.0,1
40,afg,fra,2017.0,2
41,afg,fra,2018.0,1
42,afg,fra,2019.0,2
43,afg,gbr,2004.0,1
44,afg,gbr,2007.0,3
45,afg,gbr,2008.0,1
46,afg,gbr,2009.0,1
47,afg,gbr,2010.0,3
48,afg,gbr,2011.0,2
49,afg,gbr,2013.0,2
50,afg,gbr,2014.0,1
51,afg,gbr,2015.0,2
52,afg,gbr,2016.0,4
53,afg,gbr,2017.0,2
54,afg,gbr,2019.0,1
55,afg,hkg,2015.0,1
56,afg,ind,2010.0,1
57,afg,ind,2011.0,1
58,afg,ind,2014.0,1
59,afg,ind,2019.0,1
60,afg,irl,2020.0,1
61,afg,irn,2012.0,1
62,afg,irn,2015.0,1
63,afg,irn,2020.0,1
64,afg,irn,2021.0,2
65,afg,irq,2008.0,1
66,afg,irq,2019.0,1
67,afg,ita,2008.0,1
68,afg,jor,2013.0,1
69,afg,jor,2014.0,1
70,afg,jor,2017.0,2
71,afg,jpn,2017.0,1
72,afg,jpn,2018.0,1
73,afg,jpn,2019.0,1
74,afg,jpn,2020.0,1
75,afg,lbn,2014.0,1
76,afg,mar,2019.0,1
77,afg,mex,2020.0,1
78,afg,mmr,2011.0,1
79,afg,nld,2016.0,1
80,afg,nld,2018.0,1
81,afg,nor,2015.0,1
82,afg,npl,2014.0,1
83,afg,pak,2004.0,2
84,afg,pak,2010.0,1
85,afg,pak,2011.0,1
86,afg,pak,2015.0,1
87,afg,pak,2016.0,1
88,afg,pak,2017.0,1
89,afg,pol,2017.0,1
90,afg,sau,2018.0,1
91,afg,srb,2005.0,1
92,afg,srb,2008.0,1
93,afg,usa,2004.0,2
94,afg,usa,2005.0,1
95,afg,usa,2006.0,1
96,afg,usa,2010.0,4
97,afg,usa,2011.0,5
98,afg,usa,2012.0,6
99,afg,usa,2013.0,5
100,afg,usa,2014.0,2
101,afg,usa,2015.0,2
102,afg,usa,2016.0,3
103,afg,usa,2017.0,8
104,afg,usa,2018.0,2
105,afg,usa,2019.0,5
106,afg,usa,2020.0,14
107,afg,usa,2021.0,3
108,afg,yem,2015.0,1
109,afg,zaf,2014.0,1
110,afg,zwe,2010.0,1
111,ago,aus,2014.0,1
112,ago,bel,2015.0,1
113,ago,bra,2001.0,1
114,ago,bra,2014.0,1
115,ago,bra,2015.0,1
116,ago,bra,2016.0,1
117,ago,bra,2017.0,2
118,ago,bra,2021.0,1
119,ago,can,2017.0,1
120,ago,cog,1997.0,1
121,ago,cpv,2011.0,1
122,ago,cub,1997.0,1
123,ago,cub,1999.0,1
124,ago,cub,2007.0,1
125,ago,cub,2008.0,2
126,ago,cub,2015.0,1
127,ago,dnk,2015.0,1
128,ago,esp,2019.0,1
129,ago,eth,2001.0,1
130,ago,fin,2010.0,1
131,ago,fin,2012.0,1
132,ago,fra,2001.0,3
133,ago,fra,2004.0,1
134,ago,fra,2010.0,3
135,ago,fra,2018.0,1
136,ago,gbr,2002.0,1
137,ago,gbr,2015.0,1
138,ago,gha,2011.0,1
139,ago,grc,2008.0,1
140,ago,hrv,2017.0,1
141,ago,ita,2004.0,1
142,ago,ita,2010.0,1
143,ago,khm,2017.0,1
144,ago,lbr,2016.0,1
145,ago,moz,2014.0,1
146,ago,nam,2016.0,1
147,ago,nor,2004.0,1
148,ago,nor,2008.0,1
149,ago,prt,2000.0,1
150,ago,prt,2001.0,1
151,ago,prt,2002.0,1
152,ago,prt,2009.0,1
153,ago,prt,2014.0,2
154,ago,prt,2015.0,2
155,ago,prt,2016.0,3
156,ago,prt,2017.0,3
157,ago,prt,2018.0,2
158,ago,prt,2019.0,2
159,ago,prt,2021.0,1
160,ago,rus,2012.0,1
161,ago,rus,2016.0,1
162,ago,sdn,2006.0,1
163,ago,stp,2018.0,1
164,ago,swe,2018.0,1
165,ago,usa,2004.0,1
166,ago,usa,2005.0,1
167,ago,usa,2007.0,2
168,ago,usa,2013.0,1
169,ago,usa,2014.0,1
170,ago,usa,2016.0,2
171,ago,ven,2006.0,1
172,aia,can,2017.0,1
173,aia,nga,2017.0,1
174,aia,usa,2017.0,1
175,aia,usa,2018.0,1
176,aia,usa,2021.0,1
177,alb,arg,2019.0,6
178,alb,aut,2009.0,1
179,alb,aut,2011.0,1
180,alb,bel,1998.0,2
181,alb,bih,2010.0,1
182,alb,bih,2014.0,1
183,alb,bih,2017.0,1
184,alb,bih,2020.0,1
185,alb,can,2002.0,1
186,alb,can,2006.0,1
187,alb,che,2004.0,1
188,alb,deu,1999.0,1
189,alb,deu,2002.0,1
190,alb,deu,2008.0,2
191,alb,deu,2016.0,1
192,alb,esp,1998.0,1
193,alb,eth,2012.0,1
194,alb,fra,2002.0,2
195,alb,fra,2017.0,1
196,alb,gbr,1999.0,1
197,alb,gbr,2006.0,1
198,alb,gbr,2007.0,1
199,alb,gbr,2010.0,1
200,alb,gbr,2011.0,1
201,alb,gbr,2017.0,1
202,alb,grc,1999.0,1
203,alb,irq,2012.0,1
204,alb,ita,2001.0,1
205,alb,ita,2004.0,3
206,alb,ita,2006.0,1
207,alb,ita,2008.0,1
208,alb,ita,2012.0,2
209,alb,ita,2018.0,1
210,alb,ita,2020.0,1
211,alb,ita,2021.0,1
212,alb,jpn,2000.0,1
213,alb,ken,2017.0,1
214,alb,kwt,2017.0,1
215,alb,kwt,2018.0,1
216,alb,mkd,2009.0,1
217,alb,mkd,2016.0,2
218,alb,nld,2010.0,1
219,alb,nld,2014.0,1
220,alb,nld,2015.0,1
221,alb,nld,2017.0,1
222,alb,nld,2018.0,1
223,alb,nor,2011.0,1
224,alb,pak,2020.0,1
225,alb,srb,2010.0,1
226,alb,srb,2011.0,4
